,siren,effectifs,code_specialite_1,nb_stagiaires_1,nb_heures_stagiaires_1, 
42446,853582278,0,312.0,0,0, 
42448,883045890,0,333.0,0,0, 
42450,480954916,2,315.0,0,0, 
38937,831729231,0,128.0,0,0, 
42451,804791747,1,312.0,0,0, 
86029,478487788,1,100.0,0,0, 
42454,833013998,0,125.0,0,0, 
42456,844516245,0,326.0,0,0, 
42457,809621089,0,333.0,0,0, 
38935,823366786,0,212.0,0,0, 
86027,844790709,0,310.0,0,0, 
42460,478573173,5,212.0,0,0, 
42441,822795613,0,331.0,0,0, 
42499,751769936,1,413.0,0,0, 
38927,804326023,0,412.0,0,0, 
86723,397585365,1,122.0,0,0, 
42535,523761476,1,136.0,0,0, 
38922,823609367,0,114.0,0,0, 
42538,880804760,0,230.0,0,0, 
38921,504380882,0,311.0,0,0, 
86013,849497664,0,100.0,0,0, 
86012,487914558,2,312.0,0,0, 
42545,820649481,0,310.0,0,0, 
42548,422876441,57,311.0,0,0, 
42550,841705825,0,326.0,0,0, 
42552,824875280,1,100.0,0,0, 
86009,880957907,0,315.0,0,0, 
42555,348065046,41,326.0,0,0, 
42556,481613123,0,225.0,0,0, 
42560,841192495,0,326.0,0,0, 
42534,534440078,1,331.0,0,0, 
42501,825269749,0,250.0,0,0, 
42533,420616146,0,333.0,0,0, 
86015,878261841,0,125.0,0,0, 
42502,801928888,0,333.0,0,0, 
86722,519233720,0,124.0,0,0, 
42505,531474732,1,255.0,0,0, 
42509,430169334,0,321.0,0,0, 
86020,523820660,2,413.0,0,0, 
42514,824442156,0,211.0,0,0, 
42519,753848787,0,333.0,0,0, 
42521,878703263,0,136.0,0,0, 
42525,503045155,0,331.0,0,0, 
86018,403017684,9,311.0,0,0, 
42527,814635652,0,326.0,0,0, 
86017,853828564,0,225.0,0,0, 
38925,848420618,0,311.0,0,0, 
38924,834240517,0,310.0,0,0, 
42529,341616548,1,314.0,0,0, 
86014,529662025,0,413.0,0,0, 
42307,503336588,0,414.0,0,0, 
42437,802798876,0,123.0,0,0, 
42427,130018377,4,331.0,0,0, 
38961,823715446,1,331.0,0,0, 
42344,510244684,0,326.0,0,0, 
86711,829029404,0,321.0,0,0, 
38957,442403325,0,200.0,0,0, 
42347,841735855,0,326.0,0,0, 
42348,480087782,0,410.0,0,0, 
42351,444465348,1,331.0,0,0, 
42354,528655954,0,332.0,0,0, 
86712,498521277,1,313.0,0,0, 
86713,954507521,0,230.0,0,0, 
42356,347752024,0,333.0,0,0, 
42357,791446420,0,124.0,0,0, 
42359,428998165,0,132.0,0,0, 
86041,813458742,1,100.0,0,0, 
42362,850434465,0,333.0,0,0, 
42343,310530605,23,312.0,0,0, 
42363,838023067,0,333.0,0,0, 
42338,422791772,1,124.0,0,0, 
42337,491732954,0,232.0,0,0, 
38966,840441075,0,344.0,0,0, 
86050,325444693,14,251.0,0,0, 
42311,304257678,0,220.0,0,0, 
42314,751430653,1,315.0,0,0, 
42316,827523507,0,326.0,0,0, 
42322,519909196,0,321.0,0,0, 
42325,499813491,1,413.0,0,0, 
86047,530143031,0,334.0,0,0, 
42329,819497405,1,136.0,0,0, 
86707,444912802,0,114.0,0,0, 
42331,824202089,1,312.0,0,0, 
42332,800325326,1,122.0,0,0, 
38964,350960506,0,333.0,0,0, 
42335,803960830,0,220.0,0,0, 
42336,452023757,0,128.0,0,0, 
86709,799488580,0,326.0,0,0, 
86033,502556335,0,313.0,0,0, 
38951,419736574,0,312.0,0,0, 
42366,831638978,0,415.0,0,0, 
42400,829739176,0,330.0,0,0, 
42401,851489435,1,344.0,0,0, 
86036,880932496,0,240.0,0,0, 
42404,828743385,1,100.0,0,0, 
38946,807515432,0,324.0,0,0, 
42405,832869390,0,128.0,0,0, 
86715,488631748,0,100.0,0,0, 
42406,838111433,0,324.0,0,0, 
42409,528764756,3,315.0,0,0, 
42411,815213061,0,333.0,0,0, 
42412,842198392,1,252.0,0,0, 
42414,390408193,2,315.0,0,0, 
42419,824360911,0,312.0,0,0, 
42425,819810367,0,326.0,0,0, 
38942,794122382,1,344.0,0,0, 
42399,882675085,0,300.0,0,0, 
42364,517761953,0,336.0,0,0, 
42396,838876951,1,124.0,0,0, 
38947,523478105,1,333.0,0,0, 
42368,522657774,0,344.0,0,0, 
42369,853425841,0,312.0,0,0, 
42372,880696331,0,411.0,0,0, 
42374,803967215,0,324.0,0,0, 
42375,843614272,0,331.0,0,0, 
86714,477704332,0,331.0,0,0, 
42377,530791839,0,315.0,0,0, 
42381,487880825,0,315.0,0,0, 
42382,831719067,0,312.0,0,0, 
38949,439025636,0,321.0,0,0, 
42384,790323836,1,331.0,0,0, 
86040,837954775,0,414.0,0,0, 
42388,827518291,0,212.0,0,0, 
42392,848132353,0,312.0,0,0, 
38948,495397937,0,336.0,0,0, 
42394,833779242,0,314.0,0,0, 
42974,539459156,1,314.0,0,0, 
43113,444353742,3,210.0,0,0, 
42978,440305845,4,312.0,0,0, 
85779,829870732,0,311.0,0,0, 
43738,881095459,0,413.0,0,0, 
85777,402801096,4,315.0,0,0, 
43741,822472189,0,331.0,0,0, 
43745,343967733,1,312.0,0,0, 
43746,494787625,0,123.0,0,0, 
85773,492663075,1,300.0,0,0, 
43749,489994236,0,312.0,0,0, 
38606,784492464,0,335.0,0,0, 
85771,407914993,1,136.0,0,0, 
43754,809835820,0,311.0,0,0, 
86790,514008861,2,312.0,0,0, 
86791,429169626,1,110.0,0,0, 
43757,839673571,0,412.0,0,0, 
38602,853877637,0,324.0,0,0, 
43731,429428170,5,326.0,0,0, 
43730,849167358,0,326.0,0,0, 
43725,802826842,0,311.0,0,0, 
43723,810789180,1,100.0,0,0, 
43685,824625925,0,333.0,0,0, 
43688,809883846,0,315.0,0,0, 
43690,480105873,0,333.0,0,0, 
43694,849601547,0,321.0,0,0, 
43695,833731615,0,125.0,0,0, 
43696,848571592,0,326.0,0,0, 
43707,802736272,0,310.0,0,0, 
43758,843191156,0,311.0,0,0, 
43710,753715143,1,320.0,0,0, 
43712,880088109,0,315.0,0,0, 
43713,842734790,0,326.0,0,0, 
43716,852955574,1,312.0,0,0, 
85783,71201503,0,314.0,0,0, 
43718,819354598,0,125.0,0,0, 
43720,501544589,1,311.0,0,0, 
43722,528441546,0,323.0,0,0, 
38615,400660338,25,333.0,0,0, 
43760,488027947,0,128.0,0,0, 
38601,838661528,0,311.0,0,0, 
43762,445245228,0,336.0,0,0, 
43792,499991503,3,315.0,0,0, 
43796,391187887,2,314.0,0,0, 
43799,850524703,0,413.0,0,0, 
86793,807744222,0,114.0,0,0, 
43803,880035407,0,300.0,0,0, 
43804,831463377,1,313.0,0,0, 
38579,845324193,0,411.0,0,0, 
38586,775688500,2,100.0,0,0, 
43810,310270640,12,332.0,0,0, 
43811,442724597,15,100.0,0,0, 
43812,853470839,0,315.0,0,0, 
43813,533319232,1,333.0,0,0, 
43814,813926797,0,221.0,0,0, 
43815,750191694,0,333.0,0,0, 
43817,833583552,0,333.0,0,0, 
43818,538954629,1,300.0,0,0, 
86799,848364857,0,200.0,0,0, 
43684,502509532,0,336.0,0,0, 
43786,842333122,0,312.0,0,0, 
43785,801942830,0,331.0,0,0, 
38599,380688390,0,128.0,0,0, 
43764,413067349,0,314.0,0,0, 
43766,381785211,0,314.0,0,0, 
43769,811237940,0,333.0,0,0, 
43770,833032568,0,310.0,0,0, 
43771,841618440,0,221.0,0,0, 
43776,849421896,0,335.0,0,0, 
38588,784405912,34,100.0,0,0, 
43777,520481607,1,124.0,0,0, 
43779,824538847,1,311.0,0,0, 
38593,784714164,1,100.0,0,0, 
43781,749945770,0,311.0,0,0, 
38591,784405813,41,128.0,0,0, 
86792,754013449,0,221.0,0,0, 
43782,403571912,1,311.0,0,0, 
43783,834396806,0,128.0,0,0, 
43778,843597923,0,333.0,0,0, 
85760,530287382,0,326.0,0,0, 
43683,833768948,1,321.0,0,0, 
43682,807835590,0,321.0,0,0, 
43608,480694322,0,331.0,0,0, 
43610,397997891,1,100.0,0,0, 
43611,819708272,1,321.0,0,0, 
43612,842764151,0,120.0,0,0, 
43613,844545202,0,312.0,0,0, 
43615,443144167,2,112.0,0,0, 
38656,479723157,0,330.0,0,0, 
43616,849657630,0,333.0,0,0, 
43619,849307095,0,324.0,0,0, 
43620,403558224,0,324.0,0,0, 
86784,840493183,0,232.0,0,0, 
43625,532289089,0,100.0,0,0, 
38651,776482358,0,113.0,0,0, 
43626,519331425,1,136.0,0,0, 
38648,445108863,3,312.0,0,0, 
43607,753234830,0,100.0,0,0, 
38667,439861568,6,331.0,0,0, 
43606,749984076,1,100.0,0,0, 
43603,832243976,0,312.0,0,0, 
43559,804786960,0,315.0,0,0, 
86770,537377897,1,315.0,0,0, 
43565,797723988,0,122.0,0,0, 
43569,431560531,0,128.0,0,0, 
85812,833650120,0,331.0,0,0, 
43571,479032187,0,136.0,0,0, 
38682,881847321,0,330.0,0,0, 
85796,502012073,0,326.0,0,0, 
43572,513094748,0,100.0,0,0, 
86774,823904867,0,413.0,0,0, 
43576,429447170,0,320.0,0,0, 
43586,845382795,0,330.0,0,0, 
43589,880459938,0,344.0,0,0, 
43593,790047302,21,116.0,0,0, 
85798,752468710,0,326.0,0,0, 
43598,843974742,0,326.0,0,0, 
85808,750409823,0,326.0,0,0, 
43633,823211172,1,312.0,0,0, 
43636,788679751,0,344.0,0,0, 
43637,878676675,0,312.0,0,0, 
38634,483983151,1,310.0,0,0, 
43666,813922044,0,300.0,0,0, 
38632,410965065,1,333.0,0,0, 
43668,414633768,1,314.0,0,0, 
43669,798525937,1,123.0,0,0, 
43670,522225879,0,344.0,0,0, 
43672,539239343,1,124.0,0,0, 
38637,847596509,0,120.0,0,0, 
38629,425129343,65,326.0,0,0, 
38627,784204919,0,122.0,0,0, 
86786,812439891,0,114.0,0,0, 
43676,834678351,0,413.0,0,0, 
43677,750256224,0,331.0,0,0, 
43678,520908898,0,134.0,0,0, 
43680,790777668,0,255.0,0,0, 
43681,878089242,0,100.0,0,0, 
38628,779825744,0,333.0,0,0, 
38618,784354409,75,136.0,0,0, 
43664,528991912,0,331.0,0,0, 
43662,801299074,0,315.0,0,0, 
43638,514193242,0,315.0,0,0, 
43639,811758903,0,333.0,0,0, 
43640,845084755,0,128.0,0,0, 
38647,798356911,1,222.0,0,0, 
43642,522471572,0,323.0,0,0, 
43644,533147047,0,344.0,0,0, 
38645,784360919,0,334.0,0,0, 
43663,838158905,0,117.0,0,0, 
43645,795090661,0,136.0,0,0, 
43647,822482956,0,136.0,0,0, 
85789,326578457,0,326.0,0,0, 
38639,420435356,0,335.0,0,0, 
38638,352250377,0,331.0,0,0, 
43652,830672622,0,312.0,0,0, 
43653,852793538,0,227.0,0,0, 
43658,539706994,0,333.0,0,0, 
43646,842840092,0,300.0,0,0, 
86802,389628645,1,100.0,0,0, 
85759,524634136,2,330.0,0,0, 
85758,803774777,5,326.0,0,0, 
44006,477927990,0,312.0,0,0, 
44008,418525184,0,128.0,0,0, 
44010,837903855,0,124.0,0,0, 
44012,423010388,0,336.0,0,0, 
44013,850208851,0,333.0,0,0, 
44014,799460795,1,343.0,0,0, 
44015,834315608,0,415.0,0,0, 
44016,879125037,0,320.0,0,0, 
44018,845191527,0,344.0,0,0, 
44022,844607879,0,332.0,0,0, 
38484,410051700,2,100.0,0,0, 
85722,342447000,0,125.0,0,0, 
44025,833164155,1,312.0,0,0, 
38483,780612776,4,326.0,0,0, 
38477,318021821,0,315.0,0,0, 
44004,803225879,0,132.0,0,0, 
86831,434228193,34,100.0,0,0,
44002,482084423,0,333.0,0,0, 
86829,522625979,1,315.0,0,0, 
43978,433405776,1,326.0,0,0, 
43981,352669576,0,322.0,0,0, 
85728,820649200,0,300.0,0,0, 
43985,510809239,1,300.0,0,0, 
43986,538110040,1,321.0,0,0, 
43987,811421148,0,321.0,0,0, 
85727,399416239,3,315.0,0,0, 
85715,491503827,0,331.0,0,0, 
85726,334456886,4,116.0,0,0, 
85725,818740557,0,333.0,0,0, 
43992,384446233,0,321.0,0,0, 
43993,421201351,0,322.0,0,0, 
43995,380522219,0,322.0,0,0, 
43997,824427066,5,413.0,0,0, 
43999,529945925,1,100.0,0,0, 
85723,312799331,0,313.0,0,0, 
38508,343084158,0,128.0,0,0, 
44031,442620183,1,311.0,0,0, 
44032,794047787,1,122.0,0,0, 
38474,779145432,0,326.0,0,0, 
44072,844990614,1,214.0,0,0, 
44074,848978524,0,125.0,0,0, 
44077,834328494,5,300.0,0,0, 
85704,512240755,0,200.0,0,0, 
44079,493337067,1,323.0,0,0, 
85703,511855280,1,100.0,0,0, 
86839,552074627,9,100.0,0,0, 
44071,798849238,0,128.0,0,0, 
44083,494610116,0,240.0,0,0, 
44088,538660044,0,333.0,0,0, 
85701,311944722,2,315.0,0,0, 
86843,652021577,28,136.0,0,0, 
38443,779311125,1,315.0,0,0, 
44090,511130759,1,320.0,0,0, 
85699,792534109,2,201.0,0,0, 
44092,514312396,0,200.0,0,0, 
44085,853170561,0,221.0,0,0, 
43973,752656017,0,128.0,0,0, 
44069,810194415,0,333.0,0,0, 
44062,524146099,2,230.0,0,0, 
44035,879305076,0,300.0,0,0, 
38468,510911241,1,100.0,0,0, 
85714,504716077,0,312.0,0,0, 
44040,530424647,3,112.0,0,0, 
44043,523255503,0,320.0,0,0, 
